,l,K,res_frac,t_10
24361,0.00027049597304631344,1722585965.398784,0.9984288953450254,1.0916666666666666
24362,0.00027049597304631344,1804186409.3920681,0.9984994361935933,1.0875
24363,0.00027049597304631344,1889652339.6912115,0.9985674756685534,1.0875
24364,0.00027049597304631344,1979166867.8535573,0.9986332602535294,1.0833333333333333
24365,0.00027049597304631344,2072921779.5953698,0.998695362455368,1.0833333333333333
24366,0.00027049597304631344,2171117945.6945095,0.998755600255184,1.0791666666666666
24367,0.00027049597304631344,2273965752.357932,0.9988121886986884,1.0791666666666666
24368,0.00027049597304631344,2381685551.9761605,0.998866232486461,1.0791666666666666
24369,0.00027049597304631344,2494508135.2303166,0.9989178031264937,1.075
24370,0.00027049597304631344,2612675225.5633264,0.9989671185410568,1.075
24371,0.00027049597304631344,2736439997.0746665,0.999014211982996,1.075
24372,0.00027049597304631344,2866067616.9482446,0.9990591753769379,1.075
24373,0.00027049597304631344,3001835813.575592,0.9991021164568745,1.0708333333333333
24374,0.00027049597304631344,3144035471.5915003,0.9991431207926741,1.0708333333333333
24375,0.00027049597304631344,3292971255.097148,0.9991822729304707,1.0708333333333333
24376,0.00027049597304631344,3448962260.405767,0.9992196521636562,1.0666666666666667
24377,0.00027049597304631344,3612342699.709438,0.9992552829634671,1.0666666666666667
24378,0.00027049597304631344,3783462617.1319327,0.9992893654994407,1.0666666666666667
24379,0.00027049597304631344,3962688638.7014785,0.9993219061779223,1.0666666666666667
24380,0.00027049597304631344,4150404757.8504725,0.9993529466920745,1.0666666666666667
24381,0.00027049597304631344,4347013158.125017,0.9993826051159586,1.0625
24382,0.00027049597304631344,4552935074.866939,0.9994109256375487,1.0625
24383,0.00027049597304631344,4768611697.714475,0.9994379629112007,1.0625
24384,0.00027049597304631344,4994505115.85514,0.9994637829546523,1.0625
24385,0.00027049597304631344,5231099308.056258,0.9994884353748443,1.0625
24386,0.00027049597304631344,5478901179.593956,0.9995119661990657,1.0583333333333333
24387,0.00027049597304631344,5738441648.302404,0.9995344685064057,1.0583333333333333
24388,0.00027049597304631344,6010276782.070388,0.9995559143079523,1.0583333333333333
24389,0.00027049597304631344,6294988990.221888,0.9995763893841948,1.0583333333333333
24390,0.00027049597304631344,6593188271.333542,0.9995959375321833,1.0583333333333333
24391,0.00027049597304631344,6905513520.162316,0.9996146006274104,1.0583333333333333
24392,0.00027049597304631344,7232633896.483519,0.9996324192199658,1.0583333333333333
24393,0.00027049597304631344,7575250258.77192,0.999649430880419,1.0583333333333333
