,c,h,res_frac,t_10
422,0.010969857978923837,2.7682866303920673e-09,1.0,1.8416666666666666
423,0.010969857978923837,2.899422853882877e-09,1.0,1.8416666666666666
424,0.010969857978923837,3.036771118035458e-09,1.0,1.8416666666666666
425,0.010969857978923837,3.18062569279412e-09,1.0,1.8416666666666666
426,0.010969857978923837,3.3312947879346744e-09,1.0,1.8416666666666666
427,0.010969857978923837,3.4891012134067745e-09,1.0,1.8416666666666666
428,0.010969857978923837,3.6543830709572574e-09,1.0,1.8416666666666666
429,0.010969857978923837,3.827494478516312e-09,1.0,1.8416666666666666
430,0.010969857978923837,4.0088063288984654e-09,1.0,1.8416666666666666
431,0.010969857978923837,4.198707084443911e-09,1.0,1.8416666666666666
432,0.010969857978923837,4.397603609302722e-09,1.0,1.8416666666666666
